Name,Nation,PRE_Date,PRE_Championship,PRE_Pos,PRE_100mH,PRE_HJ,PRE_Shot,PRE_200m,PRE_LJ,PRE_Jav,PRE_800m,PRE_Total,POST_Date,POST_Championship,POST_Pos,POST_100mH,POST_HJ,POST_Shot,POST_200m,POST_LJ,POST_Jav,POST_800m,POST_Total,DIFF_100mH,DIFF_HJ,DIFF_Shot,DIFF_200m,DIFF_LJ,DIFF_Jav,DIFF_800m,DIFF_Total
"Day-Monroe, Sharon",USA,04/08/2012,"Olympics, London",14,1040,941,813,946,804,742,946,6232,11/08/2013,"Worlds, Moskva",6,1049,1016,817,954,786,805,980,6407,9,75,4,8,-18,63,34,175
"Ikauniece-Admidina, Laura",LAT,04/08/2012,"Olympics, London",7,1020,1016,704,965,890,885,934,6414,11/08/2013,"Worlds, Moskva",11,994,978,685,912,837,875,878,6159,-26,-38,-19,-53,-53,-10,-56,-255
"Johnson-Thompson, Katarina",GBR,04/08/2012,"Olympics, London",13,1053,1093,616,1007,908,636,954,6267,11/08/2013,"Worlds, Moskva",5,1052,1016,629,1042,1027,684,999,6449,-1,-77,13,35,119,48,45,182
"Kasyanova, Hanna",UKR,04/08/2012,"Olympics, London",8,1077,978,725,972,975,742,923,6392,11/08/2013,"Worlds, Moskva",1,1081,1054,784,993,1004,703,967,6586,4,76,59,21,29,-39,44,194
"Klucinova, Eliska",CZE,04/08/2012,"Olympics, London",16,977,978,723,887,890,776,878,6109,11/08/2013,"Worlds, Moskva",7,983,1054,807,895,887,778,928,6332,6,76,84,8,-3,2,50,223
"Maksimava, Yana",BLR,04/08/2012,"Olympics, London",15,983,1093,800,848,846,712,916,6198,11/08/2013,"Worlds, Moskva",20,963,903,812,817,780,771,936,5982,-20,-190,12,-31,-66,59,20,-216
"Marcussen, Ida",NOR,04/08/2012,"Olympics, London",26,967,830,758,873,795,711,912,5846,11/08/2013,"Worlds, Moskva",18,941,867,682,833,874,846,953,5996,-26,37,-76,-40,79,135,41,150
"Nana Djimou, Antoinette",FRA,04/08/2012,"Olympics, London",4,1130,978,811,913,890,974,880,6576,11/08/2013,"Worlds, Moskva",8,1071,941,830,891,840,908,845,6326,-59,-37,19,-22,-50,-66,-35,-250
"Schippers, Dafne",NED,04/08/2012,"Olympics, London",10,1053,978,772,1096,937,603,885,6324,11/08/2013,"Worlds, Moskva",3,1080,941,721,1095,959,696,985,6477,27,-37,-51,-1,22,93,100,153
"Sprunger, Ellen",SUI,04/08/2012,"Olympics, London",17,1072,867,702,1020,813,776,857,6107,11/08/2013,"Worlds, Moskva",13,1024,830,718,1040,899,675,895,6081,-48,-37,16,20,86,-101,38,-26
"Theisen-Eaton, Brianne",CAN,04/08/2012,"Olympics, London",9,1080,1016,720,947,853,792,975,6383,11/08/2013,"Worlds, Moskva",2,1099,1016,732,963,965,776,979,6530,19,0,12,16,112,-16,4,147
"Zsivoczky-Farkas, Gyorgyi",HUN,04/08/2012,"Olympics, London",21,932,978,764,822,871,793,853,6013,11/08/2013,"Worlds, Moskva",15,966,978,736,827,899,772,889,6067,34,0,-28,5,28,-21,36,54
"Broersen, Nadine",NED,11/08/2013,"Worlds, Moskva",10,863,1093,758,886,890,811,923,6224,15/08/2014,"Europeans, Zurich",2,1053,1158,751,879,899,902,856,6498,190,65,-7,-7,9,91,-67,274
"Ikauniece-Admidina, Laura",LAT,11/08/2013,"Worlds, Moskva",11,994,978,685,912,837,875,878,6159,15/08/2014,"Europeans, Zurich",6,1034,1003,700,910,912,885,866,6310,40,25,15,-2,75,10,-12,151
"Klaup, Mari",EST,11/08/2013,"Worlds, Moskva",21,980,903,717,838,780,863,843,5924,15/08/2014,"Europeans, Zurich",19,954,928,738,812,768,812,753,5765,-26,25,21,-26,-12,-51,-90,-159
"Maksimava, Yana",BLR,11/08/2013,"Worlds, Moskva",20,963,903,812,817,780,771,936,5982,15/08/2014,"Europeans, Zurich",16,938,1080,785,757,723,779,921,5983,-25,177,-27,-60,-57,8,-15,1
"Marcussen, Ida",NOR,11/08/2013,"Worlds, Moskva",18,941,867,682,833,874,846,953,5996,15/08/2014,"Europeans, Zurich",18,942,891,712,821,865,819,915,5965,1,24,30,-12,-9,-27,-38,-31
"Nana Djimou, Antoinette",FRA,11/08/2013,"Worlds, Moskva",8,1071,941,830,891,840,908,845,6326,15/08/2014,"Europeans, Zurich",1,1117,928,817,931,927,941,890,6551,46,-13,-13,40,87,33,45,225
"Netsviatayeva, Katsiaryna",BLR,11/08/2013,"Worlds, Moskva",22,997,903,805,879,750,640,928,5902,15/08/2014,"Europeans, Zurich",17,1026,928,822,866,703,675,950,5970,29,25,17,-13,-47,35,22,68
"Salman-Rath, Claudia",GER,11/08/2013,"Worlds, Moskva",4,1043,1016,719,955,1062,649,1018,6462,15/08/2014,"Europeans, Zurich",8,1044,966,719,940,949,734,873,6225,1,-50,0,-15,-113,85,-145,-237
"Sprunger, Ellen",SUI,11/08/2013,"Worlds, Moskva",13,1024,830,718,1040,899,675,895,6081,15/08/2014,"Europeans, Zurich",13,1028,891,755,964,834,688,922,6082,4,61,37,-76,-65,13,27,1
"Thiam, Nafissatou",BEL,11/08/2013,"Worlds, Moskva",14,960,1132,775,832,883,737,751,6070,15/08/2014,"Europeans, Zurich",3,971,1198,813,869,905,854,813,6423,11,66,38,37,22,117,62,353
"Tyminska, Karolina",POL,11/08/2013,"Worlds, Moskva",9,1053,830,777,968,949,679,1014,6270,15/08/2014,"Europeans, Zurich",11,1041,855,825,923,871,679,938,6132,-12,25,48,-45,-78,0,-76,-138
"Zsivoczky-Farkas, Gyorgyi",HUN,11/08/2013,"Worlds, Moskva",15,966,978,736,827,899,772,889,6067,15/08/2014,"Europeans, Zurich",10,970,1003,767,809,831,874,897,6151,4,25,31,-18,-68,102,8,84
"Broersen, Nadine",NED,15/08/2014,"Europeans, Zurich",2,1053,1158,751,879,899,902,856,6498,23/08/2015,"Worlds, Beijing",4,1043,1054,833,850,912,928,871,6491,-10,-104,82,-29,13,26,15,-7
"Ikauniece-Admidina, Laura",LAT,15/08/2014,"Europeans, Zurich",6,1034,1003,700,910,912,885,866,6310,23/08/2015,"Worlds, Beijing",3,1093,941,708,984,949,931,910,6516,59,-62,8,74,37,46,44,206
"Marcussen, Ida",NOR,15/08/2014,"Europeans, Zurich",18,942,891,712,821,865,819,915,5965,23/08/2015,"Worlds, Beijing",25,913,830,718,774,816,706,927,5684,-29,-61,6,-47,-49,-113,12,-281
"Mokhnyuk, Anastasiya",UKR,15/08/2014,"Europeans, Zurich",14,1112,1003,773,902,924,571,740,6025,23/08/2015,"Worlds, Beijing",7,1114,1016,783,924,1010,647,865,6359,2,13,10,22,86,76,125,334
"Sadeiko, Grit",EST,15/08/2014,"Europeans, Zurich",15,1083,928,682,928,871,741,781,6014,23/08/2015,"Worlds, Beijing",15,1071,941,664,942,918,817,860,6213,-12,13,-18,14,47,76,79,199
"Salman-Rath, Claudia",GER,15/08/2014,"Europeans, Zurich",8,1044,966,719,940,949,734,873,6225,23/08/2015,"Worlds, Beijing",5,1059,978,733,966,1043,692,970,6441,15,12,14,26,94,-42,97,216
"Thiam, Nafissatou",BEL,15/08/2014,"Europeans, Zurich",3,971,1198,813,869,905,854,813,6423,23/08/2015,"Worlds, Beijing",11,1003,1054,877,861,893,847,763,6298,32,-144,64,-8,-12,-7,-50,-125
"Tyminska, Karolina",POL,15/08/2014,"Europeans, Zurich",11,1041,855,825,923,871,679,938,6132,23/08/2015,"Worlds, Beijing",20,1047,795,780,966,874,565,921,5948,6,-60,-45,43,3,-114,-17,-184
"Zsivoczky-Farkas, Gyorgyi",HUN,15/08/2014,"Europeans, Zurich",10,970,1003,767,809,831,874,897,6151,23/08/2015,"Worlds, Beijing",6,1000,1054,803,848,940,847,897,6389,30,51,36,39,109,-27,0,238
"Ifantidou, Sofia",GRE,23/08/2015,"Worlds, Beijing",19,1011,830,723,803,774,980,830,5951,09/07/2016,"Europeans, Amsterdam",8,1008,795,743,790,862,984,843,6025,-3,-35,20,-13,88,4,13,74
"Krizsan, Xenia",HUN,23/08/2015,"Worlds, Beijing",9,1021,978,802,862,899,844,916,6322,09/07/2016,"Europeans, Amsterdam",4,1046,903,789,882,890,809,947,6266,25,-75,-13,20,-9,-35,31,-56
"Vetter, Anouk",NED,23/08/2015,"Worlds, Beijing",12,1034,941,810,930,883,895,774,6267,09/07/2016,"Europeans, Amsterdam",1,1081,903,907,991,969,972,803,6626,47,-38,97,61,86,77,29,359
"Zsivoczky-Farkas, Gyorgyi",HUN,23/08/2015,"Worlds, Beijing",6,1000,1054,803,848,940,847,897,6389,09/07/2016,"Europeans, Amsterdam",5,994,978,795,821,868,783,905,6144,-6,-76,-8,-27,-72,-64,8,-245
"Broersen, Nadine",NED,23/08/2015,"Worlds, Beijing",4,1043,1054,833,850,912,928,871,6491,13/08/2016,"Olympics, Rio",13,1041,941,797,892,896,876,857,6300,-2,-113,-36,42,-16,-52,-14,-191
"Ennis-Hill, Jessica",GBR,23/08/2015,"Worlds, Beijing",1,1138,1054,776,1037,985,716,963,6669,13/08/2016,"Olympics, Rio",2,1149,1093,785,1030,956,784,978,6775,11,39,9,-7,-29,68,15,106
"Ikauniece-Admidina, Laura",LAT,23/08/2015,"Worlds, Beijing",3,1093,941,708,984,949,931,910,6516,13/08/2016,"Olympics, Rio",4,1075,941,762,1004,887,975,973,6617,-18,0,54,20,-62,44,63,101
"Klucinova, Eliska",CZE,23/08/2015,"Worlds, Beijing",13,970,1054,780,851,880,881,831,6247,13/08/2016,"Olympics, Rio",22,968,978,821,853,874,797,786,6077,-2,-76,41,2,-6,-84,-45,-170
"Krizsan, Xenia",HUN,23/08/2015,"Worlds, Beijing",9,1021,978,802,862,899,844,916,6322,13/08/2016,"Olympics, Rio",16,1027,941,779,865,874,856,915,6257,6,-37,-23,3,-25,12,-1,-65
"Oeser, Jennifer",GER,23/08/2015,"Worlds, Beijing",10,1026,1016,781,884,902,791,908,6308,13/08/2016,"Olympics, Rio",9,1023,1054,813,888,908,806,909,6401,-3,38,32,4,6,15,1,93
"Rodriguez, Yorgelis",CUB,23/08/2015,"Worlds, Beijing",21,1017,1054,763,883,798,730,687,5932,13/08/2016,"Olympics, Rio",7,1034,1054,773,956,927,839,898,6481,17,0,10,73,129,109,211,549
"Salman-Rath, Claudia",GER,23/08/2015,"Worlds, Beijing",5,1059,978,733,966,1043,692,970,6441,13/08/2016,"Olympics, Rio",14,1031,903,716,935,1023,656,1006,6270,-28,-75,-17,-31,-20,-36,36,-171
"Theisen-Eaton, Brianne",CAN,23/08/2015,"Worlds, Beijing",2,1127,978,774,986,1023,724,942,6554,13/08/2016,"Olympics, Rio",3,1097,1054,757,963,1001,809,972,6653,-30,76,-17,-23,-22,85,30,99
"Thiam, Nafissatou",BEL,23/08/2015,"Worlds, Beijing",11,1003,1054,877,861,893,847,763,6298,13/08/2016,"Olympics, Rio",1,1041,1211,855,878,1033,921,871,6810,38,157,-22,17,140,74,108,512
"Vetter, Anouk",NED,23/08/2015,"Worlds, Beijing",12,1034,941,810,930,883,895,774,6267,13/08/2016,"Olympics, Rio",10,1055,941,846,987,880,830,855,6394,21,0,36,57,-3,-65,81,127
"Visser, Nadine",NED,23/08/2015,"Worlds, Beijing",8,1153,978,738,1002,893,669,911,6344,13/08/2016,"Olympics, Rio",19,1121,830,717,948,959,715,900,6190,-32,-148,-21,-54,66,46,-11,-154
"Zsivoczky-Farkas, Gyorgyi",HUN,23/08/2015,"Worlds, Beijing",6,1000,1054,803,848,940,847,897,6389,13/08/2016,"Olympics, Rio",8,1008,1054,820,852,946,823,939,6442,8,0,17,4,6,-24,42,53
"Cachova, Katerina",CZE,09/07/2016,"Europeans, Amsterdam",6,1075,759,651,952,946,760,908,6051,05/08/2017,"Worlds, London",15,1069,903,651,928,896,738,885,6070,-6,144,0,-24,-50,-22,-23,19
"Dadic, Ivona",AUT,09/07/2016,"Europeans, Amsterdam",3,1003,941,801,970,949,820,924,6408,05/08/2017,"Worlds, London",6,1024,978,782,970,843,905,915,6417,21,37,-19,0,-106,85,-9,9
"Krizsan, Xenia",HUN,09/07/2016,"Europeans, Amsterdam",4,1046,903,789,882,890,809,947,6266,05/08/2017,"Worlds, London",9,1021,941,803,873,828,884,1006,6356,-25,38,14,-9,-62,75,59,90
"Nana Djimou, Antoinette",FRA,09/07/2016,"Europeans, Amsterdam",2,1086,867,939,894,946,893,833,6458,05/08/2017,"Worlds, London",16,1056,867,835,871,865,762,808,6064,-30,0,-104,-23,-81,-131,-25,-394
"Vetter, Anouk",NED,09/07/2016,"Europeans, Amsterdam",1,1081,903,907,991,969,972,803,6626,05/08/2017,"Worlds, London",3,1078,941,867,946,949,1024,831,6636,-3,38,-40,-45,-20,52,28,10
"Zsivoczky-Farkas, Gyorgyi",HUN,09/07/2016,"Europeans, Amsterdam",5,994,978,795,821,868,783,905,6144,05/08/2017,"Worlds, London",17,971,941,777,852,831,763,915,6050,-23,-37,-18,31,-37,-20,10,-94
"Cachova, Katerina",CZE,13/08/2016,"Olympics, Rio",24,1096,941,686,950,822,625,838,5958,05/08/2017,"Worlds, London",15,1069,903,651,928,896,738,885,6070,-27,-38,-35,-22,74,113,47,112
"Dadic, Ivona",AUT,13/08/2016,"Olympics, Rio",21,1001,941,756,924,865,784,884,6155,05/08/2017,"Worlds, London",6,1024,978,782,970,843,905,915,6417,23,37,26,46,-22,121,31,262
"Felix, Alysbeth",PUR,13/08/2016,"Olympics, Rio",26,968,830,619,911,918,671,888,5805,05/08/2017,"Worlds, London",25,974,867,583,852,807,659,842,5584,6,37,-36,-59,-111,-12,-46,-221
"Johnson-Thompson, Katarina",GBR,13/08/2016,"Olympics, Rio",6,1053,1211,640,1053,1010,598,958,6523,05/08/2017,"Worlds, London",5,1075,978,692,1093,1027,700,993,6558,22,-233,52,40,17,102,35,35
"Klucinova, Eliska",CZE,13/08/2016,"Olympics, Rio",22,968,978,821,853,874,797,786,6077,05/08/2017,"Worlds, London",10,974,1054,848,913,899,704,921,6313,6,76,27,60,25,-93,135,236
"Krizsan, Xenia",HUN,13/08/2016,"Olympics, Rio",16,1027,941,779,865,874,856,915,6257,05/08/2017,"Worlds, London",9,1021,941,803,873,828,884,1006,6356,-6,0,24,8,-46,28,91,99
"Nana Djimou, Antoinette",FRA,13/08/2016,"Olympics, Rio",11,1069,941,853,880,985,836,819,6383,05/08/2017,"Worlds, London",16,1056,867,835,871,865,762,808,6064,-13,-74,-18,-9,-120,-74,-11,-319
"Rodriguez, Yorgelis",CUB,13/08/2016,"Olympics, Rio",7,1034,1054,773,956,927,839,898,6481,05/08/2017,"Worlds, London",4,1036,1171,757,941,921,810,958,6594,2,117,-16,-15,-6,-29,60,113
"Salman-Rath, Claudia",GER,13/08/2016,"Olympics, Rio",14,1031,903,716,935,1023,656,1006,6270,05/08/2017,"Worlds, London",8,1047,903,717,988,1023,681,1003,6362,16,0,1,53,0,25,-3,92
"Schafer, Carolin",GER,13/08/2016,"Olympics, Rio",5,1106,1016,832,982,912,821,871,6540,05/08/2017,"Worlds, London",2,1111,1054,850,1021,912,860,888,6696,5,38,18,39,0,39,17,156
"Thiam, Nafissatou",BEL,13/08/2016,"Olympics, Rio",1,1041,1211,855,878,1033,921,871,6810,05/08/2017,"Worlds, London",1,1044,1171,872,927,1030,936,804,6784,3,-40,17,49,-3,15,-67,-26
"Vetter, Anouk",NED,13/08/2016,"Olympics, Rio",10,1055,941,846,987,880,830,855,6394,05/08/2017,"Worlds, London",3,1078,941,867,946,949,1024,831,6636,23,0,21,-41,69,194,-24,242
"Visser, Nadine",NED,13/08/2016,"Olympics, Rio",19,1121,830,717,948,959,715,900,6190,05/08/2017,"Worlds, London",7,1147,941,725,1007,943,711,896,6370,26,111,8,59,-16,-4,-4,180
"Williams, Kendell",USA,13/08/2016,"Olympics, Rio",17,1118,1016,609,972,946,685,875,6221,05/08/2017,"Worlds, London",12,1121,903,709,953,908,791,835,6220,3,-113,100,-19,-38,106,-40,-1
"Zsivoczky-Farkas, Gyorgyi",HUN,13/08/2016,"Olympics, Rio",8,1008,1054,820,852,946,823,939,6442,05/08/2017,"Worlds, London",17,971,941,777,852,831,763,915,6050,-37,-113,-43,0,-115,-60,-24,-392
"Cachova, Katerina",CZE,05/08/2017,"Worlds, London",15,1069,903,651,928,896,738,885,6070,09/08/2018,"Europeans, Berlin",6,1081,1041,708,957,962,757,894,6400,12,138,57,29,66,19,9,330
"Dadic, Ivona",AUT,05/08/2017,"Worlds, London",6,1024,978,782,970,843,905,915,6417,09/08/2018,"Europeans, Berlin",4,1027,1003,798,1018,959,810,937,6552,3,25,16,48,116,-95,22,135
"Johnson-Thompson, Katarina",GBR,05/08/2017,"Worlds, London",5,1075,978,692,1093,1027,700,993,6558,09/08/2018,"Europeans, Berlin",2,1074,1119,733,1091,1066,709,967,6759,-1,141,41,-2,39,9,-26,201
"Krizsan, Xenia",HUN,05/08/2017,"Worlds, London",9,1021,941,803,873,828,884,1006,6356,09/08/2018,"Europeans, Berlin",7,1030,966,793,882,924,772,1000,6367,9,25,-10,9,96,-112,-6,11
"Maudens, Hanne",BEL,05/08/2017,"Worlds, London",23,913,941,648,848,896,580,923,5749,09/08/2018,"Europeans, Berlin",10,973,891,721,971,981,637,930,6104,60,-50,73,123,85,57,7,355
"Quaresma, Lecabela",POR,05/08/2017,"Worlds, London",22,987,867,759,852,813,604,906,5788,09/08/2018,"Europeans, Berlin",16,952,966,770,832,880,653,897,5950,-35,99,11,-20,67,49,-9,162
"Ruckstuhl, Karin",SUI,05/08/2017,"Worlds, London",11,1007,978,751,902,795,902,895,6230,09/08/2018,"Europeans, Berlin",9,993,966,725,883,819,983,891,6260,-14,-12,-26,-19,24,81,-4,30
"Sadeiko, Grit",EST,05/08/2017,"Worlds, London",13,1069,903,698,924,850,811,839,6094,09/08/2018,"Europeans, Berlin",12,1069,891,694,923,819,824,840,6060,0,-12,-4,-1,-31,13,1,-34
"Schafer, Carolin",GER,05/08/2017,"Worlds, London",2,1111,1054,850,1021,912,860,888,6696,09/08/2018,"Europeans, Berlin",3,1075,966,802,1005,924,932,898,6602,-36,-88,-48,-16,12,72,10,-94
"Shukh, Alina",UKR,05/08/2017,"Worlds, London",14,934,1016,777,746,804,917,881,6075,09/08/2018,"Europeans, Berlin",15,920,928,823,748,792,883,891,5985,-14,-88,46,2,-12,-34,10,-90
"Thiam, Nafissatou",BEL,05/08/2017,"Worlds, London",1,1044,1171,872,927,1030,936,804,6784,09/08/2018,"Europeans, Berlin",1,1023,1119,884,904,1040,1014,832,6816,-21,-52,12,-23,10,78,28,32
"Vetter, Anouk",NED,05/08/2017,"Worlds, London",3,1078,941,867,946,949,1024,831,6636,09/08/2018,"Europeans, Berlin",5,1043,928,847,984,943,884,785,6414,-35,-13,-20,38,-6,-140,-46,-222
"Cachova, Katerina",CZE,09/08/2018,"Europeans, Berlin",6,1081,1041,708,957,962,757,894,6400,02/10/2019,"Worlds, Doha",16,1055,903,700,891,786,785,867,5987,-26,-138,-8,-66,-176,28,-27,-413
"Johnson-Thompson, Katarina",GBR,09/08/2018,"Europeans, Berlin",2,1074,1119,733,1091,1066,709,967,6759,02/10/2019,"Worlds, Doha",1,1111,1171,785,1071,1095,743,1005,6981,37,52,52,-20,29,34,38,222
"Maudens, Hanne",BEL,09/08/2018,"Europeans, Berlin",10,973,891,721,971,981,637,930,6104,02/10/2019,"Worlds, Doha",11,993,867,735,999,978,595,921,6088,20,-24,14,28,-3,-42,-9,-16
"Preiner, Verena",AUT,09/08/2018,"Europeans, Berlin",8,1039,891,778,969,877,837,946,6337,02/10/2019,"Worlds, Doha",3,1087,941,808,985,962,796,981,6560,48,50,30,16,85,-41,35,223
"Ruckstuhl, Karin",SUI,09/08/2018,"Europeans, Berlin",9,993,966,725,883,819,983,891,6260,02/10/2019,"Worlds, Doha",9,1001,867,813,868,768,964,878,6159,8,-99,88,-15,-51,-19,-13,-101
"Thiam, Nafissatou",BEL,09/08/2018,"Europeans, Berlin",1,1023,1119,884,904,1040,1014,832,6816,02/10/2019,"Worlds, Doha",2,1071,1171,876,924,975,822,838,6677,48,52,-8,20,-65,-192,6,-139
"Vidts, N",BEL,09/08/2018,"Europeans, Berlin",20,967,966,650,905,862,379,869,5598,02/10/2019,"Worlds, Doha",15,1039,941,764,937,883,545,880,5989,72,-25,114,32,21,166,11,391
"Ahouanwanou, Odile",BEN,02/10/2019,"Worlds, Doha",8,1058,941,803,976,850,797,785,6210,04/08/2021,"Olympics, Tokyo",15,1078,903,891,995,871,743,705,6186,20,-38,88,19,21,-54,-80,-24
"Bougard, Erica",USA,02/10/2019,"Worlds, Doha",4,1123,1054,685,991,915,734,968,6470,04/08/2021,"Olympics, Tokyo",9,1103,1054,707,973,868,794,880,6379,-20,0,22,-18,-47,60,-88,-91
"Kunz, A",USA,02/10/2019,"Worlds, Doha",13,1084,978,833,945,834,579,814,6067,04/08/2021,"Olympics, Tokyo",6,1052,978,871,969,949,721,880,6420,-32,0,38,24,115,142,66,353
"Oosterwegel, E",NED,02/10/2019,"Worlds, Doha",7,1028,941,774,878,810,938,881,6250,04/08/2021,"Olympics, Tokyo",3,1071,978,746,957,940,949,949,6590,43,37,-28,79,130,11,68,340
"Thiam, Nafissatou",BEL,02/10/2019,"Worlds, Doha",2,1071,1171,876,924,975,822,838,6677,04/08/2021,"Olympics, Tokyo",1,1044,1132,849,896,1040,951,879,6791,-27,-39,-27,-28,65,129,41,114
"Vidts, N",BEL,02/10/2019,"Worlds, Doha",15,1039,941,764,937,883,545,880,5989,04/08/2021,"Olympics, Tokyo",4,1099,1016,816,1010,949,702,979,6571,60,75,52,73,66,157,99,582
"Voronina, Yekaterina",UZB,02/10/2019,"Worlds, Doha",10,890,978,771,884,798,891,887,6099,04/08/2021,"Olympics, Tokyo",12,952,941,778,917,883,858,969,6298,62,-37,7,33,85,-33,82,199
"Williams, Kendell",USA,02/10/2019,"Worlds, Doha",5,1189,941,708,1017,937,766,857,6415,04/08/2021,"Olympics, Tokyo",5,1129,978,688,981,1030,836,866,6508,-60,37,-20,-36,93,70,9,93
"Vidts, N",BEL,17/08/2022,"Europeans, Munich",4,1081,1016,785,967,946,702,970,6467,19/08/2023,"Worlds, Budapest",6,1075,978,821,959,959,686,972,6450,-6,-38,36,-8,13,-16,2,-17
"Krizsan, Xenia",HUN,17/08/2022,"Europeans, Munich",5,1011,941,795,911,896,867,951,6372,19/08/2023,"Worlds, Budapest",4,1053,941,806,872,943,884,980,6479,42,0,11,-39,47,17,29,107
"Vanninen, Saga",FIN,17/08/2022,"Europeans, Munich",10,1015,903,866,886,846,743,786,6045,19/08/2023,"Worlds, Budapest",9,1033,978,846,914,868,828,822,6289,18,75,-20,28,22,85,36,244
